Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2017,107.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2018,113.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2019,101.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2020,103.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2021,99.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2022,43.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2023,67.0,35.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2024,,23.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2015,,98.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2016,,146.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2017,,144.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2018,,117.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2019,,118.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2020,,127.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2021,,139.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2022,21.0,194.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Silkeborg",2023,45.0,142.0,,
